2:136
3:135
4:111
5:161
6:161
7:185
8:150
9:164
10:153
11:167
12:117
13:131
14:163
15:177
16:167
17:181
18:143
19:157
20:201
21:174
22:178
23:141
24:201
25:205
26:197
27:201
28:241
29:269
30:283
31:272
32:286
33:420
34:434
35:423
36:437
37:151
38:192
39:111
40:56
41:114
42:251
43:251
44:211
45:202
46:227
47:235
48:244
49:283
50:98
51:113
52:161
53:270
54:147
55:161
56:190
57:159
58:208
59:213
60:200
61:249
62:235
63:230
64:217
65:284
66:270
67:160
68:143
69:171
70:161
71:148
72:316
73:302
74:310
75:297
76:314
77:318
78:304
79:291
80:65
81:97
82:162
83:323
84:646
85:142
86:223
87:255
88:241
89:230
90:348
91:335
92:130
93:123
94:123
95:116
96:128
97:121
98:75
99:111
100:168
101:38
102:87
103:34
104:149
105:77
106:33
107:33
108:29
109:179
110:182
111:178
254:310
255:460
256:207
257:285
258:381
259:190
260:403
261:202
